track_id,track_name,track_artist,track_url
2vDkR3ctidSd17d2CygVzS,APT.,ROSÉ,https://open.spotify.com/track/2vDkR3ctidSd17d2CygVzS
34DtDWmIUacoop6Md298vE,Pump Up The Volume!,PLAVE,https://open.spotify.com/track/34DtDWmIUacoop6Md298vE
4p7DTkyrKqT98xlIwYYfXz,Running Wild,Jin,https://open.spotify.com/track/4p7DTkyrKqT98xlIwYYfXz
198zDKzyktXRG1PGpidY9h,DRIP,BABYMONSTER,https://open.spotify.com/track/198zDKzyktXRG1PGpidY9h
5Invv3m92xZvztdCbZrmZ6,녹아내려요 Melt Down,DAY6,https://open.spotify.com/track/5Invv3m92xZvztdCbZrmZ6
1HEPfv1KllCYnVC1VmcpgD,POWER,G-DRAGON,https://open.spotify.com/track/1HEPfv1KllCYnVC1VmcpgD
2DbDefRFJ5YOfXCKOeCJJh,Igloo,KISS OF LIFE,https://open.spotify.com/track/2DbDefRFJ5YOfXCKOeCJJh
5R5NMy7zc7QPCfdvy8dvCQ,HAPPY,DAY6,https://open.spotify.com/track/5R5NMy7zc7QPCfdvy8dvCQ
2plbrEY59IikOBgBGLjaoe,Die With A Smile,Lady Gaga,https://open.spotify.com/track/2plbrEY59IikOBgBGLjaoe
1b6qYBwDMBpFylGVT4PRgD,Heart on the Window (with WENDY),Jin,https://open.spotify.com/track/1b6qYBwDMBpFylGVT4PRgD
0CN7xUFQbPRzffogC4FgBR,What If,PLAVE,https://open.spotify.com/track/0CN7xUFQbPRzffogC4FgBR
1NubJcJa12xLssOkQfWZDZ,Watch Me Woo!,PLAVE,https://open.spotify.com/track/1NubJcJa12xLssOkQfWZDZ
3BMAWsBp4jc35mCmebC3WT,Welcome to the Show,DAY6,https://open.spotify.com/track/3BMAWsBp4jc35mCmebC3WT
1lTBkwEm0wim9RsMXqtqWy,My Name is Malguem,QWER,https://open.spotify.com/track/1lTBkwEm0wim9RsMXqtqWy
1T6xi2QrnmwaebXGvWAjLg,WAY 4 LUV,PLAVE,https://open.spotify.com/track/1T6xi2QrnmwaebXGvWAjLg
21LtZQQMQYwVIxc9O9Ygq8,Cherish (My Love),ILLIT,https://open.spotify.com/track/21LtZQQMQYwVIxc9O9Ygq8
1IxFHdxSdC5vK1mvxCE0BM,Anthems of Defiance,LEE SEUNG YOON,https://open.spotify.com/track/1IxFHdxSdC5vK1mvxCE0BM
38tXZcL1gZRfbqfOG0VMTH,How Sweet,NewJeans,https://open.spotify.com/track/38tXZcL1gZRfbqfOG0VMTH
2Qcbspnftnon37jibwyvMU,I'll Be There,Jin,https://open.spotify.com/track/2Qcbspnftnon37jibwyvMU
2PlsVMcOn6ujc2UEYs2Yat,Home,Lim Young Woong,https://open.spotify.com/track/2PlsVMcOn6ujc2UEYs2Yat
5ocSQW5sIUIOFojwXEz9Ki,Supernatural,NewJeans,https://open.spotify.com/track/5ocSQW5sIUIOFojwXEz9Ki
1UyrFk2u0Asqmys76trMLi,From,PLAVE,https://open.spotify.com/track/1UyrFk2u0Asqmys76trMLi
6oNLSQX8bcAdbCElZYju3v,Supersonic,fromis_9,https://open.spotify.com/track/6oNLSQX8bcAdbCElZYju3v
5eWcGfUCrVFMoYskyfkEPE,Armageddon,aespa,https://open.spotify.com/track/5eWcGfUCrVFMoYskyfkEPE
4mMtn8zhy4IaOwzNCgSbCT,Virtual Idol,PLAVE,https://open.spotify.com/track/4mMtn8zhy4IaOwzNCgSbCT
1aKvZDoLGkNMxoRYgkckZG,Magnetic,ILLIT,https://open.spotify.com/track/1aKvZDoLGkNMxoRYgkckZG
7tI8dRuH2Yc6RuoTjxo4dU,Who,Jimin,https://open.spotify.com/track/7tI8dRuH2Yc6RuoTjxo4dU
6uPnrBgweGOcwjFL4ItAvV,Whiplash,aespa,https://open.spotify.com/track/6uPnrBgweGOcwjFL4ItAvV
2ODZujtUNxCQDfKCxCeRxZ,Our Movie,PLAVE,https://open.spotify.com/track/2ODZujtUNxCQDfKCxCeRxZ
3EJfFRgtbIYzBQdlc6PO9V,Vai Lá - Ao Vivo em Goiânia,Maiara & Maraisa,https://open.spotify.com/track/3EJfFRgtbIYzBQdlc6PO9V
3vnaEaDxMKdBhqA1t0uAwl,Warmth,Lim Young Woong,https://open.spotify.com/track/3vnaEaDxMKdBhqA1t0uAwl
1I5whYZ5CmnVtHKKoy4Im5,Touch,KATSEYE,https://open.spotify.com/track/1I5whYZ5CmnVtHKKoy4Im5
5sjnkOfTLCLNfkkchI2re2,UP - KARINA Solo,aespa,https://open.spotify.com/track/5sjnkOfTLCLNfkkchI2re2
7gMfVc4zfNIxuMyMGglOHa,Rebirth (Intro),Jimin,https://open.spotify.com/track/7gMfVc4zfNIxuMyMGglOHa
30FH8tNdUgHqZbB6ENgOwY,Merry PLLIstmas,PLAVE,https://open.spotify.com/track/30FH8tNdUgHqZbB6ENgOwY
3LWVXp636uLT356Rj08Jaz,Be Mine,Jimin,https://open.spotify.com/track/3LWVXp636uLT356Rj08Jaz
6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,Billie Eilish,https://open.spotify.com/track/6dOtVTDdiauQNBQEDOtlAB
1yqdD2ScjkqvaNBUzPQ4vR,Who,Jimin,https://open.spotify.com/track/1yqdD2ScjkqvaNBUzPQ4vR
78yHTvGfbDGL2XYAEkcqKH,Mantra,JENNIE,https://open.spotify.com/track/78yHTvGfbDGL2XYAEkcqKH
0PBTlQ84CBJF0tBnKGmQa6,FRI(END)S,V,https://open.spotify.com/track/0PBTlQ84CBJF0tBnKGmQa6
3d2bsbugow8JiNvuaRupFH,Slow Dance (feat. Sofia Carson),Jimin,https://open.spotify.com/track/3d2bsbugow8JiNvuaRupFH
4gxEY3Mh5FZZDAJAKPNrCS,CRAZY,LE SSERAFIM,https://open.spotify.com/track/4gxEY3Mh5FZZDAJAKPNrCS
4pygz13A6EcLL6ti7kqGaf,Super Tuna,Jin,https://open.spotify.com/track/4pygz13A6EcLL6ti7kqGaf
63BroH3HiwxYD8T5qTZiJn,A Noite (La Notte) - Ao Vivo,Gusttavo Lima,https://open.spotify.com/track/63BroH3HiwxYD8T5qTZiJn
32lSgbCqRcIOyUSnfuUZEQ,Who,Jimin,https://open.spotify.com/track/32lSgbCqRcIOyUSnfuUZEQ
1agDCV4zQqaFwJQNsTgmL1,Smeraldo Garden Marching Band (feat. Loco),Jimin,https://open.spotify.com/track/1agDCV4zQqaFwJQNsTgmL1
2VdSktBqFfkW7y6q5Ik4Z4,Supernova,aespa,https://open.spotify.com/track/2VdSktBqFfkW7y6q5Ik4Z4
6qafqn8bBMy7t5c5WqpyRk,Closer Than This,Jimin,https://open.spotify.com/track/6qafqn8bBMy7t5c5WqpyRk
5wPnPIZS8wr4lPNLz4qvHK,Who,Jimin,https://open.spotify.com/track/5wPnPIZS8wr4lPNLz4qvHK
4DairgmwgyfmFHm0e7kRPL,Be Mine (English Version),Jimin,https://open.spotify.com/track/4DairgmwgyfmFHm0e7kRPL
6BZdmmwNrZlE8QvNU15Jbv,number one girl,ROSÉ,https://open.spotify.com/track/6BZdmmwNrZlE8QvNU15Jbv
39gaUtq2z4ejJbno7tWHbL,T.B.H,QWER,https://open.spotify.com/track/39gaUtq2z4ejJbno7tWHbL
4UwsXGVppRRJpKBHy0mtyK,NEMONEMO,YENA,https://open.spotify.com/track/4UwsXGVppRRJpKBHy0mtyK
1riEr6o3obQxrQRFmD9Sed,We don't stop,PLAVE,https://open.spotify.com/track/1riEr6o3obQxrQRFmD9Sed
5c2BZj7YSGHwvjf2CtO2S4,I will come to you,Jin,https://open.spotify.com/track/5c2BZj7YSGHwvjf2CtO2S4
1SS0WlKhJewviwEDZ6dWj0,SPOT!,ZICO,https://open.spotify.com/track/1SS0WlKhJewviwEDZ6dWj0
04jt3FIji2EJUhun0UrNqR,"HOME SWEET HOME (feat. TAEYANG, DAESUNG)",G-DRAGON,https://open.spotify.com/track/04jt3FIji2EJUhun0UrNqR
3DeK5G7OhuJ1P1462XXgIu,Falling,Jin,https://open.spotify.com/track/3DeK5G7OhuJ1P1462XXgIu
1QPV3QoWw3rRKPeYoX8kO8,GGUM,YEONJUN,https://open.spotify.com/track/1QPV3QoWw3rRKPeYoX8kO8
4xbq37lr4SuP3kuxj9y8gp,Another Level,Jin,https://open.spotify.com/track/4xbq37lr4SuP3kuxj9y8gp
3yDRcs0Y4pPzkvMbUfeF9H,Moonlit Floor (Kiss Me),LISA,https://open.spotify.com/track/3yDRcs0Y4pPzkvMbUfeF9H
4mqfe9XrgEOSsofvq5MyjR,Heavenly fate,LEECHANGSUB,https://open.spotify.com/track/4mqfe9XrgEOSsofvq5MyjR
48ZIrgOwD74LvIf3EvLTt9,I’ll Be There,Jin,https://open.spotify.com/track/48ZIrgOwD74LvIf3EvLTt9
11TilGic8WoqHibFaWribW,Mantra,JENNIE,https://open.spotify.com/track/11TilGic8WoqHibFaWribW
4e1aewX6ATPcdfQIqr7gqO,Sticky,KISS OF LIFE,https://open.spotify.com/track/4e1aewX6ATPcdfQIqr7gqO
1YjhXcHqe2ztp70ArdZOPa,MEOW,MEOVV,https://open.spotify.com/track/1YjhXcHqe2ztp70ArdZOPa
0znsc67nMhP4X9hjhvoyeP,Tick-Tack,ILLIT,https://open.spotify.com/track/0znsc67nMhP4X9hjhvoyeP
1EEvAuVSb57ryIlNKuMWyr,Running Wild,Jin,https://open.spotify.com/track/1EEvAuVSb57ryIlNKuMWyr
3AoEQRuFf8zVXWqSLo2UOi,CRAZY,LE SSERAFIM,https://open.spotify.com/track/3AoEQRuFf8zVXWqSLo2UOi
6riBPa3ndGtbBdXz4xIPSd,Star Signs,LE SSERAFIM,https://open.spotify.com/track/6riBPa3ndGtbBdXz4xIPSd
2MoUuJhpSO4a0czxvsrSC6,Cherish (My Love),ILLIT,https://open.spotify.com/track/2MoUuJhpSO4a0czxvsrSC6
2y8vRHEoz15sYDmxyrDePO,"If I’m S, Can You Be My N?",TWS,https://open.spotify.com/track/2y8vRHEoz15sYDmxyrDePO
0aZG8KWrpRnsGL0loUkfSj,plot twist,TWS,https://open.spotify.com/track/0aZG8KWrpRnsGL0loUkfSj
0EJnZlXvstP3YgtiwYcy7s,Waterfall,LEE SEUNG YOON,https://open.spotify.com/track/0EJnZlXvstP3YgtiwYcy7s
3lwK3WyKAI5bUuGY1OgGbZ,Smart,LE SSERAFIM,https://open.spotify.com/track/3lwK3WyKAI5bUuGY1OgGbZ
5AJ9hqTS2wcFQCELCFRO7A,MILLION DOLLAR BABY,Tommy Richman,https://open.spotify.com/track/5AJ9hqTS2wcFQCELCFRO7A
1AtFSBJibfaqfiOByQCwZ5,Small girl (feat. D.O.),Lee Young Ji,https://open.spotify.com/track/1AtFSBJibfaqfiOByQCwZ5
1zJUr9Oo5zEjvJrdlg67jQ,Steady,NCT WISH,https://open.spotify.com/track/1zJUr9Oo5zEjvJrdlg67jQ
145tqlcE6YFsjNfxi9K3AE,"LOVE, MONEY, FAME (feat. DJ Khaled)",SEVENTEEN,https://open.spotify.com/track/145tqlcE6YFsjNfxi9K3AE
6Ixrp3yXfzv5brZXmZuXXN,Boom Boom Bass,RIIZE,https://open.spotify.com/track/6Ixrp3yXfzv5brZXmZuXXN
19D8LNpWwIPpi6hs9BG7dq,Bubble Gum,NewJeans,https://open.spotify.com/track/19D8LNpWwIPpi6hs9BG7dq
59ldd5koyBqo1vFp6MusW1,Be Mine,Jimin,https://open.spotify.com/track/59ldd5koyBqo1vFp6MusW1
50zAEIE4B1QqhPjRMK2Xmh,Running Wild,Jin,https://open.spotify.com/track/50zAEIE4B1QqhPjRMK2Xmh
45DB3yqxYGAnKN3YmLWbAX,Running Wild,Jin,https://open.spotify.com/track/45DB3yqxYGAnKN3YmLWbAX
2O4Bb2WCkjlTPO827OnBMI,EASY,LE SSERAFIM,https://open.spotify.com/track/2O4Bb2WCkjlTPO827OnBMI
7uHAhFnUOfJXlDzfyvRJQD,Running Wild (Afropop Remix),Jin,https://open.spotify.com/track/7uHAhFnUOfJXlDzfyvRJQD
2kIUILBPlz4exX9xIFS275,Lucky Girl Syndrome,ILLIT,https://open.spotify.com/track/2kIUILBPlz4exX9xIFS275
6dCqghpYHuD1LqBloAzgDv,Running Wild (Extended Ver.),Jin,https://open.spotify.com/track/6dCqghpYHuD1LqBloAzgDv
1faf3hb79uGzk5a7O5H144,Running Wild (Holiday Remix),Jin,https://open.spotify.com/track/1faf3hb79uGzk5a7O5H144
6mJRx8ghgw9QwJk0v5DfVj,Running Wild (Band Ver.),Jin,https://open.spotify.com/track/6mJRx8ghgw9QwJk0v5DfVj
3VaKWbW68AyOkEl4AxhXA2,Be Mine,Jimin,https://open.spotify.com/track/3VaKWbW68AyOkEl4AxhXA2
2Oc0j4x7HkDRVZq8JsgACT,별별별 (See that?),NMIXX,https://open.spotify.com/track/2Oc0j4x7HkDRVZq8JsgACT
2nRMW95dnOILirpjbksLTs,Never Let Go,Jung Kook,https://open.spotify.com/track/2nRMW95dnOILirpjbksLTs
1XZeIqnzH8LKB1SmUL7tpy,Running Wild (Ballad Remix),Jin,https://open.spotify.com/track/1XZeIqnzH8LKB1SmUL7tpy
2SR0alFA2oWYXSoePGTj0V,I’ll Be There,Jin,https://open.spotify.com/track/2SR0alFA2oWYXSoePGTj0V
0K0lpwTATjvexmWWVURaZP,Running Wild (UK Garage Remix),Jin,https://open.spotify.com/track/0K0lpwTATjvexmWWVURaZP
0gzXQHsv4zYHQ1pvlyYZZa,Heart on the Window (with WENDY),Jin,https://open.spotify.com/track/0gzXQHsv4zYHQ1pvlyYZZa
3WBkiZRpmyDBXIHi0o4xjK,Running Wild (Instrumental),Jin,https://open.spotify.com/track/3WBkiZRpmyDBXIHi0o4xjK
5zOv7QzCMrSkPJKQr1Tcif,I’ll Be There,Jin,https://open.spotify.com/track/5zOv7QzCMrSkPJKQr1Tcif
45zLrK0668WQ5JFMyiYmCS,Interlude : Showtime,Jimin,https://open.spotify.com/track/45zLrK0668WQ5JFMyiYmCS
7HaUkQ34NYlOXFFspHeoG6,Falling (feat. Taka),Jin,https://open.spotify.com/track/7HaUkQ34NYlOXFFspHeoG6
1NKUaH2zobKBC8LIcUH0p0,Passoa,JHAYCO,https://open.spotify.com/track/1NKUaH2zobKBC8LIcUH0p0
04HGddGSz9qgxiFJkR7oMy,Every Moment With You,JAESSBEE,https://open.spotify.com/track/04HGddGSz9qgxiFJkR7oMy
15cQVPbbwv0sZXrHRIAZeX,When I'm With You,NCT DREAM,https://open.spotify.com/track/15cQVPbbwv0sZXrHRIAZeX
1OhIn0L6iofnk5bjalWfHq,Sudden Shower,ECLIPSE,https://open.spotify.com/track/1OhIn0L6iofnk5bjalWfHq
1Uxr0oBXAZRuLkAz27TkLc,Letter To Myself,TAEYEON,https://open.spotify.com/track/1Uxr0oBXAZRuLkAz27TkLc
0UaaFmF3xUwMjnuAHBq7qL,Love You With All My Heart,Crush,https://open.spotify.com/track/0UaaFmF3xUwMjnuAHBq7qL
5AH31dDNgxCMGDdxubNNn4,NEL,Fuerza Regida,https://open.spotify.com/track/5AH31dDNgxCMGDdxubNNn4
5YHnyxTGXKxzIFAeVab8rt,ERROR 405,JD1,https://open.spotify.com/track/5YHnyxTGXKxzIFAeVab8rt
0nRalC3ENoAYEM1kTO7JAz,POKZOOK TIME,LEE SEUNG YOON,https://open.spotify.com/track/0nRalC3ENoAYEM1kTO7JAz
58Q3FZFs1YXPpliWQB5kXB,Right Now,NewJeans,https://open.spotify.com/track/58Q3FZFs1YXPpliWQB5kXB
1njlnn8ZKHI77Pe9szIONR,SHEESH,BABYMONSTER,https://open.spotify.com/track/1njlnn8ZKHI77Pe9szIONR
3BQeCOUf7M9B7NEpx9r4qj,Over The Moon,TOMORROW X TOGETHER,https://open.spotify.com/track/3BQeCOUf7M9B7NEpx9r4qj
6KYOlIwDHbrbeBbJEtQ0Fj,オトノケ - Otonoke - Opening Theme to DAN DA DAN,Creepy Nuts,https://open.spotify.com/track/6KYOlIwDHbrbeBbJEtQ0Fj
2v7aUMUc1kerJyaRmIx9zd,I'll Like You,ILLIT,https://open.spotify.com/track/2v7aUMUc1kerJyaRmIx9zd
1ARMCwjWcFqDRKnCsLhxzd,Electric Shock,KANGDANIEL,https://open.spotify.com/track/1ARMCwjWcFqDRKnCsLhxzd
7ov3TDp5D00Rnu5R1viX4w,New Woman (feat. ROSALÍA),LISA,https://open.spotify.com/track/7ov3TDp5D00Rnu5R1viX4w
0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!",Chappell Roan,https://open.spotify.com/track/0WbMK4wrZ1wFSty9F7FCgu
3iNi1rYa9FCDKSjA7cMBbN,CALL BACK,MINHO,https://open.spotify.com/track/3iNi1rYa9FCDKSjA7cMBbN
